file_name,score
10118.pkl,0.010228214332712865
4922.pkl,1.562547415299108e-05
2400.pkl,0.0002043689418436005
8869.pkl,0.014954269215897577
7631.pkl,0.00034592572207930295
11208.pkl,6.223956020874614e-05
9812.pkl,0.0002468016885056135
8560.pkl,0.9825651266018405
5847.pkl,2.2427253745443945e-05
1492.pkl,0.0013347575087640918
4633.pkl,0.8680044097747363
2121.pkl,4.834927868788423e-10
10951.pkl,8.614911298970225e-07
9746.pkl,4.465699641861852e-05
4013.pkl,0.2244114608566566
7732.pkl,0.023758241801574854
7250.pkl,5.044471629978687e-05
3447.pkl,0.011071948700416813
626.pkl,5.379874077823265e-08
10534.pkl,0.032342070663294836
1203.pkl,0.0015029813848270327
8812.pkl,0.0033862422224126294
5261.pkl,6.666805266561251e-08
8029.pkl,5.5739671555668416e-08
10753.pkl,3.8411510455617395e-06
10101.pkl,0.36238820005842876
10146.pkl,4.613194388213123e-87
4723.pkl,0.07176406704770044
7129.pkl,6.69525540996245e-06
9815.pkl,0.000185670666278695
9859.pkl,1.8940446916432487e-07
4505.pkl,0.03625235888782234
2701.pkl,4.4898999182328276e-08
325.pkl,1.1837185486948947e-07
10844.pkl,4.34437473090179e-09
10935.pkl,0.002124196536862933
5722.pkl,1.803557231804162e-05
1582.pkl,3.5068440889433075e-08
6741.pkl,0.05156928887496099
148.pkl,0.00039845190022014064
7562.pkl,0.00018174109029346213
1656.pkl,2.3314991592906902e-07
6689.pkl,0.028663712705809124
11003.pkl,0.0002124065418267208
5889.pkl,0.24843387717689122
2357.pkl,0.0012356623699665767
1493.pkl,0.053085340602493813
6128.pkl,2.699961006747493e-07
2348.pkl,0.00011602361535369763
9913.pkl,6.130982299810522e-06
10797.pkl,0.19438370114149356
10699.pkl,1.134101121569398e-05
9401.pkl,0.0028945945001111893
3415.pkl,0.00020927635458608266
375.pkl,5.388493196832763e-08
9155.pkl,0.008127763127031496
5653.pkl,5.947408456439088e-07
4512.pkl,1.3288374319615709e-06
5099.pkl,0.7881028179938031
8941.pkl,0.05779172057858742
3696.pkl,0.19685846243335273
3930.pkl,0.23271816065463483
8448.pkl,1.3625854844008653e-07
3515.pkl,0.02530406774916312
5636.pkl,3.330716457416355e-07
7828.pkl,0.0035532492259819567
7588.pkl,0.005486511450727399
9846.pkl,0.6167568266884894
836.pkl,3.173531796646908e-05
5297.pkl,4.777093148914424e-06
1980.pkl,2.5159345032674274e-05
1059.pkl,1.0
7515.pkl,1.5705289062872203e-05
10209.pkl,7.77992624383892e-07
8245.pkl,0.009133410711889627
7660.pkl,0.44832927585646637
8958.pkl,0.9207237876136598
8896.pkl,0.005888548477331412
2761.pkl,0.8603154283824124
4911.pkl,1.6672723215009835e-06
1460.pkl,2.7471321354419496e-07
2680.pkl,2.156169877541467e-05
2695.pkl,0.8684411854708495
2418.pkl,0.00021410405727452573
6568.pkl,9.330788974455149e-05
10267.pkl,1.8121821149115502e-07
3885.pkl,9.795924527504746e-07
10838.pkl,2.2179474889640316e-05
3210.pkl,0.00057718921153334
9402.pkl,0.9999816125089117
3867.pkl,0.0011171422145942317
323.pkl,1.119706694486738e-05
11098.pkl,0.9232859280765225
1040.pkl,0.0001433474986204323
1301.pkl,5.134568402449825e-06
6590.pkl,0.21745818473913311
9454.pkl,6.181551906606941e-08
10903.pkl,7.694231805501073e-06
1714.pkl,2.619652618385693e-07
11184.pkl,0.9568096308249168
4025.pkl,0.001987896299953461
7977.pkl,0.022727834162682006
5277.pkl,0.004757691574065134
120.pkl,4.1647173882849305e-05
9050.pkl,0.006779137088673359
11144.pkl,2.3369406199293078e-08
447.pkl,2.8223643209495584e-05
